,top_clues,top_friends,low_friends,foes,neutrals,assassin
0,lock latch insert cleat bolt locking strap plug wrench shackle,pin boot drill,fly dress deck cloak chick,fighter ambulance grace helicopter leprechaun lawyer theater tooth ketchup,date wall roulette wave model slug belt,microscope
1,serviceman consulate diplomat reservist consular airman medic deserter military ambassador,vet embassy soldier day,center degree tie file,square washer soul cotton space bed doctor day rabbit,spy marble pupil revolution track bark film,battery
2,ribbon octet lanyard pin bracelet blackjack multicolored accordion shamrock token,string horseshoe card,ghost soldier crash cook torch,fork spy scorpion bat satellite witch trip post capital,charge octopus millionaire ice pie mammoth theater,mass
