,top_clues,top_friends,low_friends,foes,neutrals,assassin
0,silver knotted clinch tying bronze medal medalist win finish edged,tie gold round,pyramid skyscraper log bugle crane,mass palm ghost court march boom post nail cricket,line head pit litter key china cover,church
1,tarantula buzzard chicken scorpion squirrel goose cockroach goliath snake duck,turkey arm spider jack,plane beach post hospital,pipe track battery police comic time pin paste flute,car march hand post maple deck buffalo,staff
2,robber robbery burglar shoplifter burglary theft cop detective constable pickpocket,thief police,wave soul swing shadow oil pit,battery lawyer cap lock smuggler death scientist kangaroo tail,bark watch whip orange spell pilot match,chocolate
3,wallaby bungee marsupial glider aerobatics aerobatic paratrooper possum daredevil chute,parachute kangaroo,cook witch diamond triangle screen shop,round pie ship temple whale night orange iron green,shop cook forest ruler thumb jam honey,torch
4,activate reset toggle disconnect activation shutdown shutoff shift loop timer,switch cycle,litter green round ring well thief,ground novel nail scale fall dance straw jet alien,nurse racket pistol conductor shop iron belt,slug
5,sneaker footwear heel stiletto surge spiking cleat boots boot upswing,shoe spike,lemon charge mug piano cell whip,paste china cap concert table penguin platypus fly fair,figure part carrot tower belt drop light,olive
