,top_clues,top_friends,low_friends,foes,neutrals,assassin
0,notification listing expire template list identifier automatically description valid notified,date tag,sink fire air bell net revolution,bank mammoth piano genius disease laser olive luck day,paper port ray whale code ring board,bottle
1,mayonnaise condiment sauce vinegar sauerkraut mustard chili tomato hamburger applesauce,ketchup,tube cycle satellite gas swing shark wave,snow game knight king pupil phoenix ground millionaire rock,temple figure mole degree queen chick ivory,plot
2,shamrock elf fairy mermaid goblin ogre jester gnome gargoyle elves,leprechaun unicorn,sound spine canada day cotton light,duck skyscraper cross pilot fence game helicopter theater revolution,card temple note dice eye model cook,bark
