,top_clues,top_friends,low_friends,foes,neutrals,assassin
0,cyclical systematic cyclic mobilization phase phases accelerated continuous dynamics period,cycle mass,honey rock brush scorpion nail canada,pool pupil tower mouth wind octopus worm spine plastic,rose bar stadium back skyscraper oil,cook
1,windbreaker skintight maroon necktie smock bandanna frilly singlet stretchy ratty,green pants,unicorn ketchup deck night day port,maple model cast pan pumpkin hole key wake row,cotton slug laser pin horseshoe cycle,boot
2,attorney counsel reasonable honest legal solicitor good prosecutor judge day,fair time lawyer,tube marble crash key bolt,stadium mouse cloak model kangaroo part church pupil leprechaun,play mass shop light compound grass,copper
3,evening Saturday afternoon Friday day charging Monday Sunday Thursday week,night charge,racket drop poison model cap hole,bond wave deck band millionaire rose lead slug maple,bridge alien tube car paste litter,eagle
4,serrated diameter fairway shank lid caliper perforated shaft abutment rivet,hole fork crown,racket dress police press staff,back knight pie ring field lab whip scientist fighter,torch mouse cross seal rabbit shop,smuggler
