,top_clues,top_friends,low_friends,foes,neutrals,assassin
0,pant sweater shorts trousers knit tights pajama jeans flannel undies,pants sock day,duck charge drill missile princess,agent canada eagle water well ketchup link note court,park jack diamond church lab giant,whip
1,rattlesnake antelope viper bison pronghorn anaconda stingray wildebeest armadillo mongoose,scorpion buffalo,doctor crash pupil cycle cover stock,horse code disease glass tooth nut dress pumpkin ivory,contract foot battery track opera iron,nail
2,android apple capacitive digitizer Tab stylus paste gadget clamshell keyboard,screen tablet ketchup,beach pan scientist witch time,slip yard block chair pass pants organ eye play,car wake fork beat change bugle,cycle
3,connector socket toggle threaded latch clasp pointer hook plated clamp,pin crown string,stadium doctor cell rock degree,iron paper yard leprechaun opera arm life stadium skyscraper,plane flute tick contract maple mole,death
4,pant jacket shorts trousers cowl baggy vest jeans shirt drawstring,hood pants bolt,cast jet deck water china,pupil roulette engine olive life crane glove pin cast,revolution vacuum palm belt scientist piano,circle
