,top_clues,top_friends,low_friends,foes,neutrals,assassin
0,earthly merciful conqueror exalted divine throne spiritual tyrant incarnate eternal,ruler soul,stick mouse missile ship stream buck,straw penguin draft crane opera contract buck ball life,copper ivory leprechaun ketchup tablet lemon,scale
1,burrito dessert sundae slurp gob spewing tasted napalm gulp spew,pie bomb mouth,park cycle log square state,lemon cast chick lock shadow needle pin dwarf rabbit,pilot lawyer dinosaur satellite crane brush,bear
2,radar supersonic aircraft unmanned artillery precision helicopter operational ballistic rocket,knife fence missile wave scale eagle,server dress,iron horse platypus pole kangaroo agent arm straw tag,spot stick link check pool jet,cloak
3,libretto aria operetta oratorio Isolde overture masterwork breeches Ariadne finery,opera cloak,heart mount cover net cycle track,shark bow park scale teacher witch scientist wave nail,princess cell school microscope cricket train,tooth
4,issuer issuance depository overdraft memorandum unsecured receivables Federal remittance collateral,note field bank,genius chick box paste crash,cricket band ground torch ice jack revolution swing field,maple court watch game embassy shop,time
