,top_clues,top_friends,low_friends,foes,neutrals,assassin
0,teaming apparatus aviation propose decline justice balk expeditionary picket reservist,ring strike spring force,car port agent shark,bolt witch scale pupil beach tooth temple worm grass,roulette poison duck kiwi post cook,track
1,diagram searchlight apparatus gyroscope comet forceps sheathed pontoon twisted braces,brush laser bridge trunk string,limousine chair beat,bank vet port time state green shop bell marble,satellite scientist space princess spy tag,pan
2,quartzite alarmism conservationist callow offal hare compost Bermudian bottler yuck,berry kiwi,straw lemon giant olive tower pit,pie cover ray paste fighter palm flute bridge force,watch mouth moon bomb cook tick,screen
3,quartzite embellishment resistant satchel snowflake welding sheathed cut indoor wrapping,diamond square glove,web bridge mouth root mammoth,microscope port disease watch file king chocolate millionaire wake,fighter queen lion conductor dance part,tablet
4,conservationist callow hare bottler evince Cecily incestuous Tame administrate overactive,platypus,cliff nurse cook witch apple pilot police,ball hawk star revolution ketchup bugle sink king horn,suit nurse circle match spike life,seal
