,top_clues,top_friends,low_friends,foes,neutrals,assassin
0,cheesecake fudge dessert pudding delicious brownie frosting cake pastry yummy,pie chocolate staff,microscope police degree lion pole,iron roulette day bow thief shoe maple model cross,tower gas genius pass penguin nail,glove
1,roadway culvert overpass viaduct tanker Pilot aircraft sewer ramp refueling,bridge pipe pilot,spell cycle trip pool alien,ivory drill mail ghost rock flute string cloak spring,bank pie paper bolt doctor dinosaur,head
2,demon goblin fairy ogre superman knight mythical scorpion werewolf vampire,dragon unicorn poison superhero,triangle cricket crash forest,life match mouth opera degree tower horseshoe robot net,theater ring plane ball cloak link,lion
