,top_clues,top_friends,low_friends,foes,neutrals,assassin
0,lid acrylic bottle glazed brushed beaker tumbler jug porcelain earthenware,hand glass,moon grass casino whale diamond fall,casino grass fall whale moon diamond hand glass shop,cast green fair well model triangle,march
1,lid acrylic bottle glazed brushed beaker tumbler jug porcelain earthenware,hand glass,moon grass casino whale diamond fall,casino grass fall whale moon diamond hand glass shop,cast green fair well model triangle,march
2,lid acrylic bottle glazed brushed beaker tumbler jug porcelain earthenware,hand glass,moon grass casino whale diamond fall,casino grass fall whale moon diamond hand glass shop,cast green fair well model triangle,march
